fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff_info
anthro_7-0-0 exhibition ns2:exhibitions_common workingGroupTitle,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.workingGroupTitle,Exhibition Information,Working group,Working group title,workingGroupList > workingGroup,workingGroupTitle,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common workingGroupTitle,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.workingGroupTitle,Exhibition Information,Working group,Working group title,workingGroupList > workingGroup,workingGroupTitle,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common workingGroupNote,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.workingGroupNote,Exhibition Information,Working group,Working group note,workingGroupList > workingGroup,workingGroupNote,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common workingGroupNote,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.workingGroupNote,Exhibition Information,Working group,Working group note,workingGroupList > workingGroup,workingGroupNote,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionPerson,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionPerson,Exhibition Information,Working group > Working group member,Working group member name,workingGroupList > workingGroup > exhibitionPersonGroupList > exhibitionPersonGroup,exhibitionPerson,string,n,n,y,authority: person/local; authority: person/ulan; authority: organization/local; authority: organization/ulan,"",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionPerson,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionPerson,Exhibition Information,Working group > Working group member,Working group member name,workingGroupList > workingGroup > exhibitionPersonGroupList > exhibitionPersonGroup,exhibitionPerson,string,n,n,y,authority: person/local; authority: person/ulan; authority: organization/local; authority: organization/ulan,"",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionPersonRole,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionPersonRole,Exhibition Information,Working group > Working group member,Working group member role,workingGroupList > workingGroup > exhibitionPersonGroupList > exhibitionPersonGroup,exhibitionPersonRole,string,n,n,y,vocabulary: exhibitionpersonrole,"",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionPersonRole,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionPersonRole,Exhibition Information,Working group > Working group member,Working group member role,workingGroupList > workingGroup > exhibitionPersonGroupList > exhibitionPersonGroup,exhibitionPersonRole,string,n,n,y,vocabulary: exhibitionpersonrole,"",
anthro_7-0-0 exhibition ns2:exhibitions_common planningNote,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.planningNote,Exhibition Information,"",Planning note,"",planningNote,string,n,n,n/a,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common planningNote,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.planningNote,Exhibition Information,"",Planning note,"",planningNote,string,n,n,n/a,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common curatorialNote,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.curatorialNote,Exhibition Information,"",Curatorial note,"",curatorialNote,string,n,n,n/a,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common curatorialNote,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.curatorialNote,Exhibition Information,"",Curatorial note,"",curatorialNote,string,n,n,n/a,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common generalNote,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.generalNote,Exhibition Information,"",General note,"",generalNote,string,n,n,n/a,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common generalNote,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.generalNote,Exhibition Information,"",General note,"",generalNote,string,n,n,n/a,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common boilerplateText,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.boilerplateText,Exhibition Information,"",Boilerplate text,"",boilerplateText,string,n,n,n/a,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common boilerplateText,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.boilerplateText,Exhibition Information,"",Boilerplate text,"",boilerplateText,string,n,n,n/a,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common galleryRotationName,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.galleryRotationName,Exhibition Information,Gallery rotation,Gallery rotation name,galleryRotationGroupList > galleryRotationGroup,galleryRotationName,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common galleryRotationName,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.galleryRotationName,Exhibition Information,Gallery rotation,Gallery rotation name,galleryRotationGroupList > galleryRotationGroup,galleryRotationName,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common galleryRotationStartDateGroup,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.galleryRotationStartDateGroup,Exhibition Information,Gallery rotation,Gallery rotation start date,galleryRotationGroupList > galleryRotationGroup,galleryRotationStartDateGroup,structured date group,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common galleryRotationStartDateGroup,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.galleryRotationStartDateGroup,Exhibition Information,Gallery rotation,Gallery rotation start date,galleryRotationGroupList > galleryRotationGroup,galleryRotationStartDateGroup,structured date group,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common galleryRotationEndDateGroup,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.galleryRotationEndDateGroup,Exhibition Information,Gallery rotation,Gallery rotation end date,galleryRotationGroupList > galleryRotationGroup,galleryRotationEndDateGroup,structured date group,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common galleryRotationEndDateGroup,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.galleryRotationEndDateGroup,Exhibition Information,Gallery rotation,Gallery rotation end date,galleryRotationGroupList > galleryRotationGroup,galleryRotationEndDateGroup,structured date group,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common galleryRotationNote,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.galleryRotationNote,Exhibition Information,Gallery rotation,Gallery rotation note,galleryRotationGroupList > galleryRotationGroup,galleryRotationNote,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common galleryRotationNote,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.galleryRotationNote,Exhibition Information,Gallery rotation,Gallery rotation note,galleryRotationGroupList > galleryRotationGroup,galleryRotationNote,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionReference,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionReference,Exhibition Information,Bibliographic reference,Bibliographic reference,exhibitionReferenceGroupList > exhibitionReferenceGroup,exhibitionReference,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionReference,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionReference,Exhibition Information,Bibliographic reference,Bibliographic reference,exhibitionReferenceGroupList > exhibitionReferenceGroup,exhibitionReference,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionReferenceType,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionReferenceType,Exhibition Information,Bibliographic reference,Bibliographic reference type,exhibitionReferenceGroupList > exhibitionReferenceGroup,exhibitionReferenceType,string,n,n,y,vocabulary: exhibitionreferencetype,"",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionReferenceType,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionReferenceType,Exhibition Information,Bibliographic reference,Bibliographic reference type,exhibitionReferenceGroupList > exhibitionReferenceGroup,exhibitionReferenceType,string,n,n,y,vocabulary: exhibitionreferencetype,"",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionReferenceNote,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionReferenceNote,Exhibition Information,Bibliographic reference,Bibliographic reference note,exhibitionReferenceGroupList > exhibitionReferenceGroup,exhibitionReferenceNote,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionReferenceNote,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionReferenceNote,Exhibition Information,Bibliographic reference,Bibliographic reference note,exhibitionReferenceGroupList > exhibitionReferenceGroup,exhibitionReferenceNote,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionSectionName,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionSectionName,Exhibition Planning Information,Exhibition section,Exhibition section name,exhibitionSectionGroupList > exhibitionSectionGroup,exhibitionSectionName,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionSectionName,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionSectionName,Exhibition Planning Information,Exhibition section,Exhibition section name,exhibitionSectionGroupList > exhibitionSectionGroup,exhibitionSectionName,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionSectionLocation,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionSectionLocation,Exhibition Planning Information,Exhibition section,Exhibition section location,exhibitionSectionGroupList > exhibitionSectionGroup,exhibitionSectionLocation,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionSectionLocation,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionSectionLocation,Exhibition Planning Information,Exhibition section,Exhibition section location,exhibitionSectionGroupList > exhibitionSectionGroup,exhibitionSectionLocation,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionSectionObjects,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionSectionObjects,Exhibition Planning Information,Exhibition section,Exhibition section objects,exhibitionSectionGroupList > exhibitionSectionGroup,exhibitionSectionObjects,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionSectionObjects,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionSectionObjects,Exhibition Planning Information,Exhibition section,Exhibition section objects,exhibitionSectionGroupList > exhibitionSectionGroup,exhibitionSectionObjects,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionSectionNote,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionSectionNote,Exhibition Planning Information,Exhibition section,Exhibition section note,exhibitionSectionGroupList > exhibitionSectionGroup,exhibitionSectionNote,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionSectionNote,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionSectionNote,Exhibition Planning Information,Exhibition section,Exhibition section note,exhibitionSectionGroupList > exhibitionSectionGroup,exhibitionSectionNote,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionStatus,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionStatus,Exhibition Planning Information,Exhibition status,Exhibition status,exhibitionStatusGroupList > exhibitionStatusGroup,exhibitionStatus,string,n,n,y,vocabulary: exhibitionstatus,"",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionStatus,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionStatus,Exhibition Planning Information,Exhibition status,Exhibition status,exhibitionStatusGroupList > exhibitionStatusGroup,exhibitionStatus,string,n,n,y,vocabulary: exhibitionstatus,"",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionStatusDate,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionStatusDate,Exhibition Planning Information,Exhibition status,Exhibition status date,exhibitionStatusGroupList > exhibitionStatusGroup,exhibitionStatusDate,date,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionStatusDate,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionStatusDate,Exhibition Planning Information,Exhibition status,Exhibition status date,exhibitionStatusGroupList > exhibitionStatusGroup,exhibitionStatusDate,date,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionStatusNote,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionStatusNote,Exhibition Planning Information,Exhibition status,Exhibition status note,exhibitionStatusGroupList > exhibitionStatusGroup,exhibitionStatusNote,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionStatusNote,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionStatusNote,Exhibition Planning Information,Exhibition status,Exhibition status note,exhibitionStatusGroupList > exhibitionStatusGroup,exhibitionStatusNote,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionObjectNumber,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectNumber,Exhibited Object Information,Object checklist,Object number,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectNumber,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionObjectNumber,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectNumber,Exhibited Object Information,Object checklist,Object number,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectNumber,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionObjectName,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectName,Exhibited Object Information,Object checklist,Object name,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectName,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionObjectName,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectName,Exhibited Object Information,Object checklist,Object name,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectName,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionObjectConsCheckDate,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectConsCheckDate,Exhibited Object Information,Object checklist,Object cons. check,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectConsCheckDate,date,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionObjectConsCheckDate,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectConsCheckDate,Exhibited Object Information,Object checklist,Object cons. check,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectConsCheckDate,date,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionObjectConsTreatment,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectConsTreatment,Exhibited Object Information,Object checklist,Object cons. treatment,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectConsTreatment,string,n,n,y,option list: exhibitionConsTreatmentStatuses,"Done, Needed, Not needed",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionObjectConsTreatment,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectConsTreatment,Exhibited Object Information,Object checklist,Object cons. treatment,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectConsTreatment,string,n,n,y,option list: exhibitionConsTreatmentStatuses,"Done, Needed, Not needed",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionObjectMount,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectMount,Exhibited Object Information,Object checklist,Object mount,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectMount,string,n,n,y,option list: exhibitionMountStatuses,"Done, Needed, Not needed",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionObjectMount,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectMount,Exhibited Object Information,Object checklist,Object mount,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectMount,string,n,n,y,option list: exhibitionMountStatuses,"Done, Needed, Not needed",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionObjectSection,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectSection,Exhibited Object Information,Object checklist,Object section,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectSection,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionObjectSection,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectSection,Exhibited Object Information,Object checklist,Object section,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectSection,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionObjectCase,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectCase,Exhibited Object Information,Object checklist,Object case,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectCase,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionObjectCase,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectCase,Exhibited Object Information,Object checklist,Object case,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectCase,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionObjectSeqNum,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectSeqNum,Exhibited Object Information,Object checklist,Object seq. #,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectSeqNum,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionObjectSeqNum,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectSeqNum,Exhibited Object Information,Object checklist,Object seq. #,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectSeqNum,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionObjectRotation,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectRotation,Exhibited Object Information,Object checklist,Object rotation,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectRotation,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionObjectRotation,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectRotation,Exhibited Object Information,Object checklist,Object rotation,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectRotation,string,n,n,y,"","",
anthro_7-0-0 exhibition ns2:exhibitions_common exhibitionObjectNote,anthro_7-0-0,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectNote,Exhibited Object Information,Object checklist,Object note,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectNote,string,n,n,y,"","",
ohc_1-0-18_7-2 exhibition ns2:exhibitions_common exhibitionObjectNote,ohc_1-0-18_7-2,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionObjectNote,Exhibited Object Information,Object checklist,Object note,exhibitionObjectGroupList > exhibitionObjectGroup,exhibitionObjectNote,string,n,n,y,"","",
anthro_7-0-0 group ns2:groups_common title,anthro_7-0-0,group,ns2:groups_common,ns2:groups_common,groups_common.title,Group Information,"",Title,"",title,string,y,n,n/a,"","",
ohc_1-0-18_7-2 group ns2:groups_common title,ohc_1-0-18_7-2,group,ns2:groups_common,ns2:groups_common,groups_common.title,Group Information,"",Title,"",title,string,y,n,n/a,"","",
anthro_7-0-0 group ns2:groups_common responsibleDepartment,anthro_7-0-0,group,ns2:groups_common,ns2:groups_common,groups_common.responsibleDepartment,Group Information,"",Responsible department,"",responsibleDepartment,string,n,n,n/a,option list: departments,"antiquities, architecture-design, decorative-arts, ethnography, herpetology, media-performance-art, paintings-sculpture, paleobotany, photographs, prints-drawings",
ohc_1-0-18_7-2 group ns2:groups_common responsibleDepartment,ohc_1-0-18_7-2,group,ns2:groups_common,ns2:groups_common,groups_common.responsibleDepartment,Group Information,"",Responsible department,"",responsibleDepartment,string,n,n,n/a,option list: departments,"archaeology, archaeology-nagpra, collection-management, design, education, ethnographic, history, naamcc, natural-history, poindexter-village, registrar, sites",
anthro_7-0-0 group ns2:groups_common owner,anthro_7-0-0,group,ns2:groups_common,ns2:groups_common,groups_common.owner,Group Information,"",Group owner,"",owner,string,n,n,n/a,authority: person/local,"",
ohc_1-0-18_7-2 group ns2:groups_common owner,ohc_1-0-18_7-2,group,ns2:groups_common,ns2:groups_common,groups_common.owner,Group Information,"",Group owner,"",owner,string,n,n,n/a,authority: person/local,"",
anthro_7-0-0 group ns2:groups_common groupEarliestSingleDate,anthro_7-0-0,group,ns2:groups_common,ns2:groups_common,groups_common.groupEarliestSingleDate,Group Information,"",Earliest/single date,"",groupEarliestSingleDate,date,n,n,n/a,"","",
ohc_1-0-18_7-2 group ns2:groups_common groupEarliestSingleDate,ohc_1-0-18_7-2,group,ns2:groups_common,ns2:groups_common,groups_common.groupEarliestSingleDate,Group Information,"",Earliest/single date,"",groupEarliestSingleDate,date,n,n,n/a,"","",
anthro_7-0-0 group ns2:groups_common groupLatestDate,anthro_7-0-0,group,ns2:groups_common,ns2:groups_common,groups_common.groupLatestDate,Group Information,"",Latest date,"",groupLatestDate,date,n,n,n/a,"","",
ohc_1-0-18_7-2 group ns2:groups_common groupLatestDate,ohc_1-0-18_7-2,group,ns2:groups_common,ns2:groups_common,groups_common.groupLatestDate,Group Information,"",Latest date,"",groupLatestDate,date,n,n,n/a,"","",
anthro_7-0-0 group ns2:groups_common scopeNote,anthro_7-0-0,group,ns2:groups_common,ns2:groups_common,groups_common.scopeNote,Group Information,"",Scope note,"",scopeNote,string,n,n,n/a,"","",
ohc_1-0-18_7-2 group ns2:groups_common scopeNote,ohc_1-0-18_7-2,group,ns2:groups_common,ns2:groups_common,groups_common.scopeNote,Group Information,"",Scope note,"",scopeNote,string,n,n,n/a,"","",
anthro_7-0-0 insurance ns2:insurances_common insuranceIndemnityReferenceNumber,anthro_7-0-0,insurance,ns2:insurances_common,ns2:insurances_common,insurances_common.insuranceIndemnityReferenceNumber,Insurance and Indemnity Information,"",Reference number,"",insuranceIndemnityReferenceNumber,string,y,n,n/a,"","",
ohc_1-0-18_7-2 insurance ns2:insurances_common insuranceIndemnityReferenceNumber,ohc_1-0-18_7-2,insurance,ns2:insurances_common,ns2:insurances_common,insurances_common.insuranceIndemnityReferenceNumber,Insurance and Indemnity Information,"",Reference number,"",insuranceIndemnityReferenceNumber,string,y,n,n/a,"","",
anthro_7-0-0 insurance ns2:insurances_common insuranceIndemnityType,anthro_7-0-0,insurance,ns2:insurances_common,ns2:insurances_common,insurances_common.insuranceIndemnityType,Insurance and Indemnity Information,"",Type,"",insuranceIndemnityType,string,n,n,n/a,vocabulary: insurancetype,"",
ohc_1-0-18_7-2 insurance ns2:insurances_common insuranceIndemnityType,ohc_1-0-18_7-2,insurance,ns2:insurances_common,ns2:insurances_common,insurances_common.insuranceIndemnityType,Insurance and Indemnity Information,"",Type,"",insuranceIndemnityType,string,n,n,n/a,vocabulary: insurancetype,"",
anthro_7-0-0 insurance ns2:insurances_common insurerIndemnifier,anthro_7-0-0,insurance,ns2:insurances_common,ns2:insurances_common,insurances_common.insurerIndemnifier,Insurance and Indemnity Information,"",Insurer/indemnifier,"",insurerIndemnifier,string,n,n,n/a,authority: person/local; authority: person/ulan; authority: organization/local; authority: organization/ulan,"",
ohc_1-0-18_7-2 insurance ns2:insurances_common insurerIndemnifier,ohc_1-0-18_7-2,insurance,ns2:insurances_common,ns2:insurances_common,insurances_common.insurerIndemnifier,Insurance and Indemnity Information,"",Insurer/indemnifier,"",insurerIndemnifier,string,n,n,n/a,authority: person/local; authority: person/ulan; authority: organization/local; authority: organization/ulan,"",
anthro_7-0-0 insurance ns2:insurances_common insuranceIndemnityPolicyNumber,anthro_7-0-0,insurance,ns2:insurances_common,ns2:insurances_common,insurances_common.insuranceIndemnityPolicyNumber,Insurance and Indemnity Information,"",Policy number,"",insuranceIndemnityPolicyNumber,string,n,n,n/a,"","",
ohc_1-0-18_7-2 insurance ns2:insurances_common insuranceIndemnityPolicyNumber,ohc_1-0-18_7-2,insurance,ns2:insurances_common,ns2:insurances_common,insurances_common.insuranceIndemnityPolicyNumber,Insurance and Indemnity Information,"",Policy number,"",insuranceIndemnityPolicyNumber,string,n,n,n/a,"","",
anthro_7-0-0 insurance ns2:insurances_common insuranceIndemnityCurrency,anthro_7-0-0,insurance,ns2:insurances_common,ns2:insurances_common,insurances_common.insuranceIndemnityCurrency,Insurance and Indemnity Information,Insurance/indemnity price,Insurance/indemnity price currency,"",insuranceIndemnityCurrency,string,n,n,n/a,vocabulary: currency,"",
ohc_1-0-18_7-2 insurance ns2:insurances_common insuranceIndemnityCurrency,ohc_1-0-18_7-2,insurance,ns2:insurances_common,ns2:insurances_common,insurances_common.insuranceIndemnityCurrency,Insurance and Indemnity Information,Insurance/indemnity price,Insurance/indemnity price currency,"",insuranceIndemnityCurrency,string,n,n,n/a,vocabulary: currency,"",
